edificio_id,codigo_region,region,codigo_comuna,nombre_comuna,tmy_commune_id,episcope_archetype,building_year,building_type,material,thermal_zone,model_persons,model_area_m2,heating_demand_kwh,calibration_target_source,calibration_target_fuel_energy_kwh,mvp_target_fuel_energy_kwh,calibration_target_wood_volume_stere,mvp_wood_volume_stere,redpe_mid_m3st_per_consumer,redpe_mid_target_fuel_energy_kwh,candidate_count,valid_candidate_count,best_score,best_profile_error_kwh,best_event_fuel_energy_kwh,best_event_duration_hours,best_min_event_interval_hours,best_storage_capacity_kwh,best_storage_loss_rate_per_hour,dynamic_assigned_fuel_energy_kwh,dynamic_assigned_useful_energy_kwh,dynamic_unmet_heating_energy_kwh,dynamic_unallocated_fuel_energy_kwh,dynamic_storage_spill_energy_kwh,dynamic_stored_energy_end_kwh,dynamic_event_count,dynamic_wood_volume_stere,redpe_dynamic_assigned_fuel_energy_kwh,redpe_dynamic_assigned_useful_energy_kwh,redpe_dynamic_unmet_heating_energy_kwh,redpe_dynamic_unallocated_fuel_energy_kwh,redpe_dynamic_wood_volume_stere
99748,1,Tarapaca,1211,Alto Hospicio,1107,CL.SFH.CEV.lad.A,2018,SFH,lad,A,4,46.0,2769.8789442975335,MVP_coverage_mid,4154.8184164463,4154.8184164463,2.2257955802390894,2.2257955802390894,,,144,144,0.24091836541806583,1000.9720614991191,8.0,2.0,4.0,8.0,0.0,4154.8184164463,2077.40920822315,692.4697360743833,0.0,0.0,0.0,520,2.2257955802390894,,,,,
111131,2,Antofagasta,2103,María Elena,2302,CL.SFH.preRT.mad.B,1990,SFH,mad,B,3,112.0,222.55400912550186,MVP_coverage_mid,333.8310136882528,333.8310136882528,0.1788380430472783,0.1788380430472783,,,144,144,0.22347820049508133,74.6039542084996,8.0,2.0,1.0,8.0,0.0,333.8310136882528,166.9155068441264,55.63850228137544,0.0,0.0,0.0,42,0.1788380430472783,,,,,
307529,3,Atacama,3304,Alto del Carmen,3302,CL.SFH.CEV.mad.B,2018,SFH,mad,B,4,13.0,5957.464860747752,MVP_coverage_mid,8936.197291121629,8936.197291121629,4.787248548815159,4.787248548815159,,,144,144,0.23268323515358724,2079.303295668903,8.0,2.0,4.0,8.0,0.0,8936.197291121629,4468.0986455608145,1489.366215186937,0.0,0.0,0.0,1118,4.787248548815159,,,,,
529140,4,Coquimbo,4304,Canela,4202,CL.SFH.RT2.lad.C,2011,SFH,lad,C,4,53.0,6285.901690791,MVP_coverage_mid,9428.8525361865,9428.8525361865,5.051171001528482,5.051171001528482,,,144,144,0.21421076867600022,2019.761749509164,8.0,2.0,1.0,8.0,0.0,9428.8525361865,4714.42626809325,1571.4754226977507,0.0,0.0,0.0,1179,5.051171001528482,,,,,
861373,5,Valparaiso,5502,Nogales,5506,CL.SFH.preRT.lad.D,1990,SFH,lad,D,4,71.0,3427.5724150199885,MVP_coverage_mid,5141.358622529982,5141.358622529982,2.7542992620696336,2.7542992620696336,,,144,144,0.2305861579013999,1185.5261311624224,8.0,2.0,4.0,8.0,0.0,5141.358622529982,2570.679311264991,856.8931037549974,0.0,0.0,0.0,643,2.7542992620696336,,,,,
1202172,6,O'Higgins,6209,Chépica,6302,CL.SFH.RT2.mad.D,2011,SFH,mad,D,7,36.0,2407.5492244520055,REDPE_mid,7040.0,3611.3238366780083,2.5795170261985776,,3.77,7040.0,144,144,0.0009483186536919754,0.0,8.0,1.0,1.0,16.0,0.0,4824.0,2407.5492244520055,0.0,2216.0,0.0,4.450775547994107,603,2.584285714285714,4824.0,2407.5492244520055,0.0,2216.0,2.584285714285714
1440031,7,Maule,7210,San Rafael,7110,CL.SFH.preRT.lad.D,1990,SFH,lad,D,3,37.0,2842.608336027233,REDPE_mid,9980.0,4263.912504040849,3.0456517886006065,,5.345000000000001,9980.0,144,144,0.0008103703365882444,0.0,8.0,1.0,1.0,16.0,0.0,5696.0,2842.608336027233,0.0,4284.0,0.0,5.3916639727669216,712,3.051428571428572,5696.0,2842.608336027233,0.0,4284.0,3.051428571428572
1902270,8,Biobio,8301,Arauco,8202,CL.SFH.RT2.mad.E,2011,SFH,mad,E,3,65.0,5814.568591773078,REDPE_mid,13334.999999999998,8721.852887659617,6.229894919756869,,7.145,13334.999999999998,144,144,0.0006109570558967155,0.0,8.0,1.0,1.0,16.0,0.0,11640.0,5814.568591773078,0.0,1694.9999999999982,0.0,5.43140822692134,1455,6.235714285714285,11640.0,5814.568591773078,0.0,1694.9999999999982,6.235714285714285
2205143,9,Araucania,9209,Carahue,9102,CL.SFH.preRT.mad.E,1990,SFH,mad,E,2,58.0,7006.616827209978,REDPE_mid,20640.0,10509.925240814966,7.507089457724976,,11.055,20640.0,144,144,0.0003912189527632535,0.0,8.0,1.0,1.0,16.0,0.0,14024.0,7006.616827209978,0.0,6616.0,0.0,5.383172790022307,1753,7.512857142857143,14024.0,7006.616827209978,0.0,6616.0,7.512857142857143
2542125,10,Los Lagos,10503,Futaleufú,10402,CL.SFH.RT2.mad.I,2011,SFH,mad,I,2,48.0,10459.312208885525,REDPE_mid,30045.0,15688.968313328289,11.206405938091633,,16.1,30045.0,144,144,0.00023403849797678613,0.0,16.0,2.0,1.0,16.0,0.0,20928.0,10459.312208885525,0.0,9117.0,0.0,4.687791114475581,1308,11.211428571428572,20928.0,10459.312208885525,0.0,9117.0,11.211428571428572
2551775,11,Aysen,11104,Guaitecas,11203,CL.SFH.preRT.mad.I,1990,SFH,mad,I,2,35.0,3625.4349082911026,REDPE_mid,46410.0,5438.152362436654,3.88439454459761,,24.865,46410.0,144,144,8.290535581439537e-05,0.0,8.0,1.0,1.0,8.0,0.0,7256.0,3625.4349082911026,0.0,39154.0,0.0,2.565091708897381,907,3.887142857142857,7256.0,3625.4349082911026,0.0,39154.0,3.887142857142857
2577343,12,Magallanes,12101,Natales,12401,CL.SFH.preRT.mad.I,1990,SFH,mad,I,3,76.0,17910.3373687088,REDPE_mid,43580.0,26865.506053063196,19.18964718075943,,23.345,43580.0,144,144,0.00033258253641123834,0.0,16.0,1.0,1.0,32.0,0.0,35840.0,17910.3373687088,0.0,7740.0,0.0,9.66263129120103,2240,19.2,35840.0,17910.3373687088,0.0,7740.0,19.2
3136144,13,RM,14202,Lampa,13302,CL.SFH.RT2.mad.D,2011,SFH,mad,D,6,18.0,1298.8640505972378,REDPE_mid,5225.0,1948.2960758958566,1.391640054211326,,2.795,5225.0,144,144,0.0014744352352427412,0.0,16.0,1.0,1.0,16.0,0.0,2608.0,1298.8640505972378,0.0,2617.0,0.0,5.135949402762231,163,1.3971428571428575,2608.0,1298.8640505972378,0.0,2617.0,1.3971428571428575
2355533,14,Los Rios,10110,Paillaco,14107,CL.SFH.preRT.mad.F,1990,SFH,mad,F,3,49.0,7113.351371397602,REDPE_mid,26430.0,10670.027057096402,7.621447897926002,,14.16,26430.0,144,144,0.00037733419990909595,0.0,16.0,1.0,1.0,16.0,0.0,14240.0,7113.351371397602,0.0,12190.0,0.0,6.6486286023982615,890,7.628571428571429,14240.0,7113.351371397602,0.0,12190.0,7.628571428571429
45480,15,Arica y Parinacota,1106,Camarones,15102,CL.SFH.preRT.mad.B,1990,SFH,mad,B,2,32.0,819.4778627252233,MVP_coverage_mid,1229.2167940878348,1229.2167940878348,0.6585089968327688,0.6585089968327688,,,144,144,0.24989314024340312,307.1728447145377,32.0,1.0,1.0,64.0,0.0,1229.2167940878348,614.6083970439174,204.86946568130588,0.0,0.0,0.0,39,0.6585089968327688,,,,,
1643605,16,Nuble,8117,Pemuco,16105,CL.SFH.preRT.adobe.F,1990,SFH,adobe,F,3,375.0,29642.234394265008,MVP_coverage_mid,44463.35159139751,44463.35159139751,23.819652638248673,23.819652638248673,,,144,144,0.17891860223178552,7955.320717273267,16.0,1.0,1.0,16.0,0.0,44463.35159139751,22231.675795698757,7410.558598566251,0.0,0.0,0.0,2779,23.81965263824867,,,,,
